ROI,Feature,CN Mean+/-SD,MCI Mean+/-SD,AD Mean+/-SD,p-value,FDR p,Effect Size,Test
Wernicke,gm_fraction,0.6673 +/- 0.03788,0.6363 +/- 0.05409,0.6824 +/- 0.02691,0.3903996594361131,0.5109257287922285,0.4113035743035784,students_t
Wernicke,normalized_volume,5.578 +/- 0.6785,5.192 +/- 0.6006,5.61 +/- 0.2078,0.8767458207088827,0.9045790213663075,0.05142971910417682,welch_t
Wernicke,surface_to_volume_ratio,0.6021 +/- 0.003547,0.6049 +/- 0.004901,0.6024 +/- 0.00577,0.7180598555211559,0.7736003968321846,-0.11904761904761907,mann_whitney_u
Wernicke,atrophy_index,,,,,,,insufficient_data
Insula,voxel_count,7660 +/- 70.6,7654 +/- 43.6,7620 +/- 59.29,0.07607024019316908,0.2004553626711888,-0.5238095238095237,mann_whitney_u
Insula,brain_volume_mm3,7660 +/- 70.6,7654 +/- 43.6,7620 +/- 59.29,0.07607024019316908,0.2004553626711888,-0.5238095238095237,mann_whitney_u
Insula,gm_volume_mm3,4482 +/- 181,4402 +/- 262.4,4072 +/- 330,0.0019728277382029804,0.02459580323357413,-1.690169906251043,students_t
Insula,mean_intensity,0.3529 +/- 0.01791,0.3569 +/- 0.01673,0.3343 +/- 0.02105,0.05782095995921013,0.1734628798776304,-0.9469299066516202,students_t
Insula,std_intensity,0.2061 +/- 0.0114,0.2085 +/- 0.006394,0.2025 +/- 0.01149,0.5250504674605131,0.6399052572175004,-0.3029163111323691,students_t
Insula,skewness,0.5365 +/- 0.05161,0.5149 +/- 0.1142,0.708 +/- 0.1153,0.0001819079309835209,0.02459580323357413,2.1923698479052804,students_t
Insula,kurtosis,-0.7632 +/- 0.1265,-0.7922 +/- 0.2018,-0.3668 +/- 0.3181,0.02713879028783547,0.1102513355443316,1.9064095873035636,welch_t
Insula,entropy,4.007 +/- 0.02128,3.996 +/- 0.0371,3.949 +/- 0.05785,0.05894020050264855,0.174141501485098,-1.552587053734942,welch_t
Insula,surface_area_vox,5218 +/- 21.94,5211 +/- 14.6,5227 +/- 15.14,0.38095792587431065,0.5094777079683371,0.4197389723751003,students_t
Insula,cortical_thickness_mm,1.468 +/- 0.01215,1.469 +/- 0.006088,1.458 +/- 0.01005,0.07573905798648221,0.2004553626711888,-0.5238095238095237,mann_whitney_u
Insula,gm_fraction,0.585 +/- 0.02019,0.5751 +/- 0.03382,0.5341 +/- 0.03945,0.023452671535645522,0.09730363722235909,-1.806840983826515,welch_t
Insula,normalized_volume,5.411 +/- 0.6395,5.05 +/- 0.5827,5.423 +/- 0.2007,0.9522984976116448,0.9572072527539728,0.01989963567456909,welch_t
Insula,surface_to_volume_ratio,0.6813 +/- 0.005704,0.6809 +/- 0.002839,0.686 +/- 0.004745,0.07574819401444788,0.2004553626711888,0.5238095238095238,mann_whitney_u
Insula,atrophy_index,,,,,,,insufficient_data
IFG,voxel_count,1.125e+04 +/- 168,1.117e+04 +/- 95.43,1.099e+04 +/- 95.62,0.0022453747114761307,0.02459580323357413,-1.662978426510985,students_t
IFG,brain_volume_mm3,1.125e+04 +/- 168,1.117e+04 +/- 95.43,1.099e+04 +/- 95.62,0.0022453747114761307,0.02459580323357413,-1.662978426510985,students_t
IFG,gm_volume_mm3,7605 +/- 550.7,7328 +/- 311,6759 +/- 305.9,0.0004399084240028291,0.02459580323357413,-1.6370335988925306,welch_t
IFG,mean_intensity,0.4443 +/- 0.02253,0.4382 +/- 0.01508,0.4125 +/- 0.01555,0.00581643799459579,0.03911053134297169,-1.4616509474711175,students_t
IFG,std_intensity,0.2451 +/- 0.005794,0.2486 +/- 0.005179,0.2487 +/- 0.008647,0.29665930749689445,0.4415920989457589,0.5022908976425932,students_t
IFG,skewness,0.0956 +/- 0.1177,0.1223 +/- 0.08691,0.2384 +/- 0.08426,0.015455060152932534,0.08145234404923903,1.2500363573080786,students_t
IFG,kurtosis,-1.213 +/- 0.02951,-1.277 +/- 0.05068,-1.234 +/- 0.04472,0.23961597594602313,0.38615797776425215,-0.56837190184918,students_t
IFG,entropy,4.093 +/- 0.01397,4.095 +/- 0.0156,4.071 +/- 0.01317,0.004459352397277747,0.03666977725125494,-1.5181661141387133,students_t
IFG,surface_area_vox,5949 +/- 49.41,5914 +/- 12.33,5906 +/- 31.78,0.05067079463364293,0.16468008255933952,-0.5714285714285714,mann_whitney_u
IFG,cortical_thickness_mm,1.892 +/- 0.03424,1.888 +/- 0.01553,1.861 +/- 0.0111,0.02321552750878563,0.09730363722235909,-0.6666666666666667,mann_whitney_u
IFG,gm_fraction,0.6754 +/- 0.04094,0.6562 +/- 0.02384,0.615 +/- 0.02711,0.0022703818369453044,0.02459580323357413,-0.8333333333333333,mann_whitney_u
IFG,normalized_volume,7.954 +/- 0.9796,7.369 +/- 0.869,7.821 +/- 0.2817,0.6482351062880797,0.7274477128517473,-0.150430903190826,welch_t
IFG,surface_to_volume_ratio,0.5288 +/- 0.009803,0.5297 +/- 0.00434,0.5374 +/- 0.003166,0.02002063983488132,0.09248995155021965,0.6666666666666667,mann_whitney_u
IFG,atrophy_index,,,,,,,insufficient_data
STG,voxel_count,7486 +/- 46,7455 +/- 35.32,7471 +/- 31.06,0.47482110360022156,0.593526379500277,-0.3411238605809695,students_t
STG,brain_volume_mm3,7486 +/- 46,7455 +/- 35.32,7471 +/- 31.06,0.47482110360022156,0.593526379500277,-0.3411238605809695,students_t
STG,gm_volume_mm3,4930 +/- 229.4,4707 +/- 266.4,4938 +/- 188.8,0.9362303867764906,0.9459322560695113,0.03791674764837516,students_t
STG,mean_intensity,0.4154 +/- 0.01662,0.4025 +/- 0.01179,0.4189 +/- 0.01273,0.6440877321881638,0.7274477128517473,0.21958715971210294,students_t
STG,std_intensity,0.2277 +/- 0.00694,0.2288 +/- 0.004655,0.2317 +/- 0.006367,0.2513483674520738,0.3970534532572913,0.5538849629628291,students_t
STG,skewness,0.3335 +/- 0.06855,0.3913 +/- 0.09262,0.3015 +/- 0.09286,0.3998525202084833,0.5198082762710282,-0.40299194832076224,students_t
STG,kurtosis,-0.9331 +/- 0.07636,-0.8963 +/- 0.08222,-0.9733 +/- 0.0963,0.3306548072258617,0.4811767717092763,-0.467243224734338,students_t
STG,entropy,4.067 +/- 0.0249,4.064 +/- 0.01533,4.081 +/- 0.01801,0.23154099094669475,0.37625411028837896,0.5786608558381499,students_t
STG,surface_area_vox,5486 +/- 22.03,5496 +/- 22.14,5502 +/- 11.94,0.11024913376547066,0.24495071752036673,0.7850719110790341,students_t
STG,cortical_thickness_mm,1.365 +/- 0.00907,1.356 +/- 0.006111,1.358 +/- 0.007305,0.126403693106092,0.2515175526090606,-0.7489937055925691,students_t
STG,gm_fraction,0.6584 +/- 0.02726,0.6313 +/- 0.03391,0.661 +/- 0.02386,0.8430455800939002,0.8744355750973966,0.09387727080545577,students_t
STG,normalized_volume,5.29 +/- 0.6415,4.918 +/- 0.5599,5.317 +/- 0.1923,0.8902671119079484,0.9136951938002628,0.04560897352247333,welch_t
STG,surface_to_volume_ratio,0.7329 +/- 0.004886,0.7373 +/- 0.003289,0.7365 +/- 0.003819,0.1235980759698818,0.2510585918138224,0.7549670765982639,students_t
STG,atrophy_index,,,,,,,insufficient_data
